st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,sin_ra,sin_dec,disp
-26.93199920654297,-2.901000022888184,2459985.25,4.550594329833984,2.6540000438690186,3731.0,7.108409881591797,414.7749938964844,1257.0,9.130900382995604,100.71099853515624,5613.0,4.141735029220581,1.090000033378601,0.859809398651123,-0.1925480216741562,F
-29.100000381469727,-6.800000190734863,2459230.0,2.504791736602783,4.379756450653076,2270.540283203125,8.695089340209961,1750.9326171875,1649.822021484375,9.23859977722168,467.45859985351564,6616.0,4.0137300252914425,1.5342899560928345,0.8255152106285095,-0.4582388401031494,F
12.640999794006348,-16.01099967956543,2458326.0,1.430369853973389,1.616599440574646,18960.712890625,13.187450408935549,1281.2408447265625,1525.90478515625,12.406900405883787,375.30999755859375,5600.0,4.4885101318359375,0.8907740116119385,-0.6595162153244019,-0.8277848958969116,C
-3.973000049591065,7.060999870300293,2459232.25,5.4255547523498535,3.963747501373291,14939.6337890625,17.519110012054444,273.58807373046875,1037.2752685546875,7.609499931335449,510.2950134277344,8868.7001953125,4.324910974502563,1.3225809812545777,0.9548330903053284,-0.5289349555969238,F
-13.062999725341797,9.737000465393066,2459985.75,1.4095183610916138,0.9484999179840088,2841.51025390625,13.564258337020874,1650.422119140625,1625.6180419921875,7.677999973297119,224.6719970703125,9307.0,4.03500006198883,2.351183009147644,0.9721183776855468,-0.5624127388000488,F
-9.230999946594238,11.61400032043457,2459238.75,12.688941955566406,7.920100212097168,3232.852783203125,14.060833930969238,425.159423828125,1158.1309814453125,10.625699996948242,368.64599609375,7601.0,4.309999942779541,1.5364099740982056,0.8979448676109314,-0.5891721844673157,F
-8.017999649047852,11.5600004196167,2458492.75,4.95911979675293,2.509000062942505,7440.0,22.91230010986328,673.5499877929688,1419.0,10.625399589538574,360.5409851074219,5889.0,3.859999895095825,2.0,0.9290291666984558,-0.7690266966819763,F
-15.640999794006348,26.04599952697754,2460982.0,4.411937236785889,3.6321284770965576,14711.880859375,15.064873695373535,1817.8873291015625,1819.1138916015625,9.71090030670166,175.63099670410156,6280.0,4.320919990539551,1.2100000381469729,0.9987542629241944,-0.8987047076225281,C
-3.2109999656677246,-15.08199977874756,2458493.0,1.9087899923324585,1.909000039100647,618.4819946289062,3.3468799591064453,985.8070068359376,1561.0,10.555100440979004,235.9739990234375,6022.60009765625,4.519999980926514,1.2200000286102295,0.8720628619194031,-0.6819875240325928,F
-19.152999877929688,11.04599952697754,2460733.75,9.683791160583496,1.698858618736267,4965.24951171875,25.36026954650879,2575.814208984375,1985.0771484375,5.532400131225586,129.83799743652344,8598.7001953125,4.191000008583069,1.851114022731781,0.6084684133529663,-0.7827940583229065,F
47.22800064086914,-6.324999809265137,2460720.75,14.2628755569458,6.935049533843994,913.2067260742188,2.476581335067749,153.20693969726562,980.3628540039062,9.913800239562988,105.677001953125,5690.0,4.579999923706055,0.8538979887962341,0.8147774934768677,-0.7854189276695251,F
30.649999618530277,-33.90599822998047,2458544.5,1.0160599946975708,2.8429999351501465,240.0,1.2070399522781372,2784.0400390625,2023.0,7.905900001525879,23.774799346923828,4634.0,4.639999866485596,0.6800000071525574,0.3891506791114807,-0.7848348617553711,F
